ID NUTS YYYY MM 0 BAREA
611 DE128 2006 04 2 0.139624
612 DE128 2006 06 4 0.725333
613 DE129 1997 03 2 0.297982
614 DE129 2000 06 2 0.6598
615 DE129 2000 07 2 0.0145369
616 DE129 2000 08 2 0.024801
617 DE129 2001 07 2 0.965376
618 DE129 2002 08 2 1.00398
619 DE129 2003 08 2 0.866864
620 DE129 2003 09 2 0.35396
621 DE12A 1997 03 2 0.0815152
622 DE12A 1998 05 2 0.345525
623 DE12A 2000 06 2 0.615235
624 DE12A 2000 07 2 0.405126
625 DE12A 2003 03 2 0.278345
626 DE12A 2003 04 2 0.293185
627 DE12A 2003 09 2 0.0487216
628 DE12C 2003 03 3 0.158382
629 DE12C 2003 04 3 0.17952
630 DE12C 2003 08 2 0.228436
631 DE12C 2003 09 2 0.0426462
632 DE133 2006 07 2 0.0855255
633 DE133 2006 09 2 0.106198
634 DE134 2000 09 2 0.149855
635 DE134 2006 06 2 0.108214
636 DE134 2006 10 2 0.052098
637 DE135 2000 08 3 0.28563
638 DE139 2006 04 2 3.5739
639 DE13A 2006 05 3 0.58272
640 DE13A 2006 07 4 0.676899
641 DE13A 2006 08 3 0.528195
642 DE13A 2006 10 2 0.216715
643 DE411 1999 09 2 0.199858
644 DE411 2003 06 2 0.376554
645 DE411 2005 06 2 0.0275849
646 DE411 2006 07 3 3.44542
647 DE412 1998 05 3 1.22806
648 DE412 1998 06 2 0.0130324
649 DE412 1998 07 2 0.0611725
650 DE412 1998 08 2 0.913361
651 DE412 1998 09 2 0.0146242
652 DE412 1999 04 2 2.83041
653 DE412 1999 05 5 0.252814
654 DE412 1999 06 3 0.0318186
655 DE412 1999 07 3 1.23219
656 DE412 1999 08 3 3.10461
657 DE412 1999 09 3 0.901185
658 DE412 2000 04 5 0.838143
659 DE412 2000 05 5 0.316454
660 DE412 2000 06 5 5.50617
661 DE412 2000 07 3 0.161901
662 DE412 2000 08 2 4.01822
663 DE412 2001 05 4 0.389763
664 DE412 2001 07 5 0.231797
665 DE412 2002 03 4 1.01587
666 DE412 2002 04 5 3.68798
667 DE412 2002 05 3 0.0953768
668 DE412 2002 07 2 0.414045
669 DE412 2002 09 3 0.195143
670 DE412 2003 03 4 1.72301
671 DE412 2003 04 4 21.0501
672 DE412 2003 05 3 0.0309936
673 DE412 2003 06 3 6.22654
674 DE412 2003 07 2 0.155251
675 DE412 2003 08 2 0.839962
676 DE412 2003 09 2 0.026047
677 DE412 2004 04 2 0.0241236
678 DE412 2004 05 2 0.347961
679 DE412 2004 06 2 0.809932
680 DE412 2004 08 2 0.368142
681 DE412 2004 09 2 0.00530336
682 DE412 2005 03 2 0.556955
683 DE412 2005 04 4 0.568387
684 DE412 2005 05 4 1.19817
685 DE412 2005 06 2 0.196609
686 DE412 2006 04 2 0.054478
687 DE412 2006 05 5 0.691057
688 DE412 2006 06 3 0.107348
689 DE412 2006 07 3 1.93305
690 DE412 2006 08 2 0.214044
691 DE412 2006 09 2 0.219423
692 DE413 1998 03 2 0.108482
693 DE413 1998 04 2 0.0403881
694 DE413 1998 05 3 0.0507124
695 DE413 1998 08 2 0.267596
696 DE413 1999 05 2 0.0545964
697 DE413 1999 07 5 1.81325
698 DE413 1999 08 5 0.371798
699 DE413 1999 09 4 0.41315
700 DE413 1999 10 2 0.0088951
701 DE413 2000 04 3 0.104547
702 DE413 2000 05 5 0.162013
703 DE413 2000 06 5 0.66888
704 DE413 2001 07 4 0.088159
705 DE413 2002 03 3 0.612798
706 DE413 2002 04 2 0.00520623
707 DE413 2002 06 2 0.25516
708 DE413 2002 07 3 2.655
709 DE413 2002 08 2 0.0126309
710 DE413 2003 03 2 5.2789
711 DE413 2003 04 3 0.249118
712 DE413 2003 05 2 0.00582479
713 DE413 2003 08 4 0.105572
714 DE413 2005 03 2 0.0187005
715 DE413 2005 04 3 0.16555
716 DE413 2006 04 3 0.102182
717 DE413 2006 05 5 0.815426
718 DE413 2006 07 5 7.32987
719 DE413 2006 09 2 0.299483
720 DE413 2006 10 2 0.134471
721 DE413 2006 11 2 0.00139426
722 DE414 1998 03 2 0.363849
723 DE414 1998 05 3 0.347403
724 DE414 1998 06 4 2.88662
725 DE414 1998 07 3 0.0392562
726 DE414 1998 08 4 0.49688
727 DE414 1999 07 4 3.66707
728 DE414 1999 08 2 0.0088249
729 DE414 1999 09 5 0.220678
730 DE414 1999 10 3 0.0750015
731 DE414 2000 06 4 1.32272
732 DE414 2000 07 2 0.0419649
